neighborhood,shelter_no,waze_link,area,type,capacity,operator,latitude,longiude,address_label,Administration,neighborhood,name_other,google_maps_link
Morasha,Public Shelter No.752,"https://www.waze.com/ul?ll=31.78133530,35.22679420&amp;navigate=yes&amp;zoom=16",100,Shelter,80,Musrara photography school ,31.7815450384733,35.2267512880258,21 HaAyin Het St.,,,Musrara - Morasha,"https://www.google.com/maps/dir//31.7813353,35.2267942+(21+HaAyin+Het+St.)"
Morasha,Public Shelter No.753,"https://www.waze.com/ul?ll=31.78575030,35.22712230&amp;navigate=yes&amp;zoom=16",100,,80,Eshkolot Community Administration,31.78579592,35.2270983,16 Kheil HaHandasa St.,,,Musrara - Morasha,"https://www.google.com/maps/dir//31.7857503,35.2271223+(16+Kheil+HaHandasa+St.)"
Katamon,Public Shelter No.755,"https://www.waze.com/ul?ll=31.75589460,35.19546320&amp;navigate=yes&amp;zoom=16",100,,80,"Jerusalem Municipality, Culture Department - Artist Victor Raubinov",31.75640292,35.19666642,3 Dov Hoz St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7558946,35.1954632+(3+Dov+Hoz+St.)"
Katamon,Public Shelter No.756,https://www.waze.com/he/live-map/directions/סן-מרטין-1-ירושלים?to=place.w.23068990.230624360.540726,100,,80,"""Torah BeTziyon Tzedek"" youth movement",31.75628558,35.1946299,1 San Martin St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.75628558,35.1946299+(1+San+Martin+St.)"
Katamon,Public Shelter No.757,"https://ul.waze.com/ul?place=EiBIYVNob21lciBTdCA1LCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCRM73wXs1wIVERbJZ_Zebcq9EAUqFAoSCaWRVxPs1wIVEXnE1A94CFS_&amp;ll=31.75551790,35.19782000&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",100,,80,"Jerusalem Municipality, Department for the Advancement of Youth and Young People (Youth Club)",31.75571857,35.19787365,5 HaShomer St.  ,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7555179,35.19782+(5+HaShomer+St.+ )"
Kiryat Menachem,Public Shelter No.803,"https://ul.waze.com/ul?place=ChIJnX4AwXnXAhURe_DTu4hDhdo&amp;ll=31.75950550,35.16694380&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.76052490,35.16441700&amp;navigate=yes&amp;zoom=16",113,,90,"""Darchei Hayim"" yeshiva (dining room)",31.759541963516,35.1669116174373,17 Henrietta Szold St.,,,Kiryat Menachem,"https://www.google.com/maps/dir//31.7595055,35.1669438+(17+Henrietta+Szold+St.)"
Emek Refaim,Public Shelter No.804,"https://www.waze.com/ul?ll=31.76468940,35.21961580&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.76488511,35.21965502,8 HaMelits St.,,,German Colony,"https://www.google.com/maps/dir//31.7646894,35.2196158+(8+HaMelits+St.)"
Katamon,Public Shelter No.805,"https://www.waze.com/ul?ll=31.76221390,35.21078690&amp;navigate=yes&amp;zoom=16",370,,296,"Emergency and Security Division, Jerusalem Municipality",31.76235525,35.21082471,21 Yordei HaSira St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7622139,35.2107869+(21+Yordei+HaSira+St.)"
Givat Shaul,Public Shelter No.808,"https://www.waze.com/ul?ll=31.79070810,35.19171290&amp;navigate=yes&amp;zoom=16",100,,80,Meitarim Community Administration,31.79066778,35.19194561,27 Yisrael Najara St.,,,Givat Shaul,"https://www.google.com/maps/dir//31.7907081,35.1917129+(27+Yisrael+Najara+St.)"
Rehavia,Public Shelter No.809,"https://www.waze.com/ul?ll=31.77329210,35.21079110&amp;navigate=yes&amp;zoom=16",90,,72,"Emergency and Security Division, Jerusalem Municipality",31.7732564371017,35.2107287751096,9 Rashba St.,,,Rehavia,"https://www.google.com/maps/dir//31.7732921,35.2107911+(9+Rashba+St.)"
Rehavia,Public Shelter No.810,"https://www.waze.com/ul?ll=31.77310490,35.21664660&amp;navigate=yes&amp;zoom=16",150,Shelter,120,"Emergency and Security Division, Jerusalem Municipality",31.77326342,35.21668807,9 Ovadia MeBartenora St.,,,Rehavia,"https://www.google.com/maps/dir//31.7731049,35.2166466+(9+Ovadia+MeBartenora+St.)"
Mekor Baruch,Public Shelter No.812,"https://www.waze.com/ul?ll=31.78771930,35.21514760&amp;navigate=yes&amp;zoom=16",110,,88,"Emergency and Security Division, Jerusalem Municipality",31.7889017633605,35.2074233475444,109 Rashi St.,,,Makor Baruch,"https://www.google.com/maps/dir//31.7877193,35.2151476+(109+Rashi+St.)"
Malha,Public Shelter No.813,"https://www.waze.com/ul?ll=31.75539630,35.18326690&amp;navigate=yes&amp;zoom=16",,,96,"Youth Promotion Department, Jerusalem Municipality",31.7556061,35.1832669,7 Kdoshei Struma St.,,,Malha,"https://www.google.com/maps/dir//31.7553963,35.1832669+(7+Kdoshei+Struma+St.)"
Kiryat HaYovel,Public Shelter No.814,"https://www.waze.com/ul?ll=31.75928850,35.17715950&amp;navigate=yes&amp;zoom=16",130,,104,Yuvalim Community Administration,31.7592547412489,35.1771236732554,3 Volta Ilit St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7592885,35.1771595+(3+Volta+Ilit+St.)"
Kiryat HaYovel,Public Shelter No.814 A,"https://www.waze.com/ul?ll=31.75928850,35.17715950&amp;navigate=yes&amp;zoom=16",130,,104,"""Beit HaKehilot"", Yuvalim Community Administration",31.7592547412489,35.1771236732554,3 Volta Ilit St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7592885,35.1771595+(3+Volta+Ilit+St.)"
Kiryat HaYovel,Public Shelter No.815,"https://ul.waze.com/ul?place=EilBaGFyb24gUmFiaW5vdmljaCBTdCAyLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCS9L49ae1wIVEdPf6AFdkQ3FEAIqFAoSCSsB47qe1wIVESPv_jfqKhDz&amp;ll=31.76515860,35.17575110&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?place=EilBaGFyb24gUmFiaW5vdmljaCBTdCAyLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCS9L49ae1wIVEdPf6AFdkQ3FEAIqFAoSCSsB47qe1wIVESPv_jfqKhDz&amp;ll=31.76515860,35.17575110&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.76214270,35.17558860&amp;navigate=yes&amp;zoom=16",168,,134,music institute,31.76531568,35.1752983,2 Aharon Rabinovich St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7651586,35.1757511+(2+Aharon+Rabinovich+St.)"
Kiryat HaYovel ,Public Shelter No.815 A,"https://www.waze.com/ul?ll=31.76515860,35.17575110&amp;navigate=yes&amp;zoom=16",815 A,,136,"""Yad Avi"" synagogue",31.76531568,35.1752983,2 Aharon Rabinovich St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7651586,35.1757511+(2+Aharon+Rabinovich+St.)"
Rehavia,Public Shelter No.816,"https://ul.waze.com/ul?place=ChIJM9zN09XXAhURTWSaEw6ial8&amp;ll=31.77159700,35.21239370&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",120,,96,"Holocaust survivors' organization, Jerusalem   ",31.7716032630308,35.2123859949165,50 Azza St.,,,Rehavia,"https://www.google.com/maps/dir//31.771597,35.2123937+(50+Azza+St.)"
Katamon,Public Shelter No.817,"https://www.waze.com/ul?ll=31.76059170,35.21227390&amp;navigate=yes&amp;zoom=16",,,96,Ginot Ha'Ir Community Administration,31.7607394299226,35.2122816187098,7 Yehoshua Ben Gamla St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7605917,35.2122739+(7+Yehoshua+Ben+Gamla+St.)"
Mahane Yehuda,Public Shelter No.821,"https://www.waze.com/ul?ll=31.78316880,35.21364550&amp;navigate=yes&amp;zoom=16",120,,96,Lev Ha'Ir Community Administration,31.78299762,35.2136024,24 Einayim LaMishpat St.,,,City Center,"https://www.google.com/maps/dir//31.7831688,35.2136455+(24+Einayim+LaMishpat+St.)"
Katamon,Public Shelter No.824,"https://www.waze.com/ul?ll=31.75522360,35.20861460&amp;navigate=yes&amp;zoom=16",150,,120,"Mikro Theater, Culture Division, Jerusalem Municipality",31.7554334,35.2086146,31 Rashbag St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7552236,35.2086146+(31+Rashbag+St.)"
Katamon,Public Shelter No.825,"https://ul.waze.com/ul?place=EilFbGF6YXIgQmVuIFlhJ2lyIFN0IDI0LCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCZtSCD3v1wIVEezBKQjiwp8LEBgqFAoSCW8IhzDv1wIVEbvxK7Yt_QLL&amp;ll=31.75342720,35.20165800&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",150,,120,"""Ariel"" youth movement",31.75360963,35.20166873,24 Elazar Ben Yair St.  ,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7534272,35.201658+(24+Elazar+Ben+Yair+St.+ )"
Mea She'arim,Public Shelter No.826,"https://ul.waze.com/ul?place=EiRPdHNhciBIYVNmYXJpbSBTdCwgSmVydXNhbGVtLCBJc3JhZWwiLiosChQKEgmXz7dR2ykDFRH-Qe0gKLye_hIUChIJS_zBNNbXAhURy-FuRT5ib9k&amp;ll=31.78663400,35.22526100&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",150,,120,"""Moreshet HaNahal"" yeshiva",31.78649294,35.2253953,6 Otsar HaSfarim St.,,,Mea Shearim,"https://www.google.com/maps/dir//31.786634,35.225261+(6+Otsar+HaSfarim+St.)"
Kiryat Menachem,Public Shelter No.827,"https://ul.waze.com/ul?ll=31.75898740,35.16883090&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",,,80,"""Ariel"" youth movement",31.75898,35.16878,4 Mexico St.,,,Kiryat Menachem,"https://www.google.com/maps/dir//31.7589874,35.1688309+(4+Mexico+St.)"
Katamon,Public Shelter No.828,"https://www.waze.com/ul?ll=31.75991040,35.21317850&amp;navigate=yes&amp;zoom=16",100,,80,boxing club,31.75971235,35.21328746,10 HaRav Hasda St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7599104,35.2131785+(10+HaRav+Hasda+St.)"
Ir Ganim,Public Shelter No.829,"https://www.waze.com/ul?ll=31.75357350,35.16665050&amp;navigate=yes&amp;zoom=16",100,,32,"""Chai Tayeb"" synagogue",31.75350048,35.166039,9 HaRakefet St.,,,Ir Ganim,"https://www.google.com/maps/dir//31.7535735,35.1666505+(9+HaRakefet+St.)"
Geula,Public Shelter No.830,"https://goo.gl/maps/xCPoFCgHhwo?ll=31.78767970,35.21894860&amp;navigate=yes&amp;zoom=16",100,,80,Bucharim Community Administration,31.7915136,35.21721693,25 Tsfanya St.,,,Geula,"https://www.google.com/maps/dir//31.7876797,35.2189486+(25+Tsfanya+St.)"
Katamon,Public Shelter No.831,"https://www.waze.com/ul?ll=31.75589460,35.19546320&amp;navigate=yes&amp;zoom=16",150,,120,"Keshet Arts, Culture Division, Jerusalem Municipality",31.7562636,35.1954492,7 Dov Hoz St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7558946,35.1954632+(7+Dov+Hoz+St.)"
Rehavia,Public Shelter No.835,"https://www.waze.com/ul?ll=31.77225570,35.21615190&amp;navigate=yes&amp;zoom=16",190,,152,"Emergency and Security Division, Jerusalem Municipality",31.7722626584943,35.2158986886004,18 Arlozorov St.,,,Rehavia,"https://www.google.com/maps/dir//31.7722557,35.2161519+(18+Arlozorov+St.)"
Baka,Public Shelter No.836,"https://www.waze.com/ul?ll=31.75973420,35.21916510&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.75968621,35.21989257,27 Menashe St.,,,Baka,"https://www.google.com/maps/dir//31.7597342,35.2191651+(27+Menashe+St.)"
Mekor Baruch,Public Shelter No.839,"https://www.waze.com/ul?ll=31.78756880,35.20890510&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.78743779,35.16634432,14 Tashbatz St.,,,Makor Baruch,"https://www.google.com/maps/dir//31.7875688,35.2089051+(14+Tashbatz+St.)"
,Public Shelter No.840,"https://www.waze.com/ul?ll=31.75297450,35.16710100&amp;navigate=yes&amp;zoom=16",100,shelter,32,"""Beit Chabad"" building",31.75303908,35.16703205,70 Costa Rica St.,,,"Ir Ganim, Accessible Shelter","https://www.google.com/maps/dir//31.7529745,35.167101+(70+Costa+Rica+St.)"
Katamon,Public Shelter No.842,"https://www.waze.com/ul?ll=31.75301240,35.19558420&amp;navigate=yes&amp;zoom=16",174,,139,synagogue for Israelis of Ethiopian origin ,31.75311816,35.19538627,8 Bar Yochai St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7530124,35.1955842+(8+Bar+Yochai+St.)"
Ir Ganim,Public Shelter No.901,"https://ul.waze.com/ul?place=EiBJY2VsYW5kIFN0IDEzLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCVmA0b551wIVEehdh4WAcgmhEA0qFAoSCY9mtXh51wIVETGWJsiPzKKR&amp;ll=31.75910710,35.16652080&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",150,,120,"""David Moshe"" synagogue",31.75927128,35.16653153,13 Iceland St ,,,Ir Ganim,"https://www.google.com/maps/dir//31.7591071,35.1665208+(13+Iceland+St+)"
Ir Ganim,Public Shelter No.902,"https://www.waze.com/ul?ll=31.75446060,35.16927980&amp;navigate=yes&amp;zoom=16",250,,200,"Ezra Movement, Society Division, Jerusalem Municipality",31.75487408,35.16903666,29 HaNurit St.,,,Ir Ganim,"https://www.google.com/maps/dir//31.7544606,35.1692798+(29+HaNurit+St.)"
Ein Karem ,Public Shelter No.903,https://ul.waze.com/ul?venue_id=23068990.230427753.362373&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location,120,,96,"Artists' studio, Ein Kerem Community Center",31.76842599,35.16359315,82 Homat HaTzalafim St.,,,Ein Kerem,"https://www.google.com/maps/dir//31.76842599,35.16359315+(82+Homat+HaTzalafim+St.)"
Geula,Public Shelter No.904,"https://www.waze.com/ul?ll=31.78996270,35.21151270&amp;navigate=yes&amp;zoom=16",125,,100,"Sanitation Division, Jerusalem Municipality",31.79038842,35.2112935,7 HaZayit St.,,,Geula,"https://www.google.com/maps/dir//31.7899627,35.2115127+(7+HaZayit+St.)"
Katamon,Public Shelter No.906,"https://ul.waze.com/ul?preview_venue_id=23068990.230689895.203291&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75330350,35.19301290&amp;navigate=yes&amp;zoom=16",100,,80,"""Gal Avraham"" synagogue",31.75430501,35.19884543,2 Bar Yochai St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7533035,35.1930129+(2+Bar+Yochai+St.)"
Mekor Baruch,Public Shelter No.909,"https://www.waze.com/ul?ll=31.78975390,35.20947140&amp;navigate=yes&amp;zoom=16",120,,96,"Toar Gallery, Culture Division, Jerusalem Municipality",31.7887720246485,35.2094209745319,7 Yehuda HaMaccabi St.,,,Makor Baruch,"https://www.google.com/maps/dir//31.7897539,35.2094714+(7+Yehuda+HaMaccabi+St.)"
Bukharim ,Public Shelter No.910,"https://ul.waze.com/ul?ll=31.79114300,35.21504600&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.79162200,35.21488460&amp;navigate=yes&amp;zoom=16",100,,80,"Karlin Hassidic community's ""Beit Bracha""",31.79171933,35.21486308,Ovadya St 22,,,Beit Israel - Bucharim,"https://www.google.com/maps/dir//31.791143,35.215046+(Ovadya+St+22)"
Old Katamon,Public Shelter No.923,"https://www.waze.com/ul?ll=31.76182730,35.21393840&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality ","31.76185405030013,",35.21380463,15 Elazar HaModa'i St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7618273,35.2139384+(15+Elazar+HaModa'i+St.)"
Zikhron Moshe,Public Shelter No.928,"https://www.waze.com/ul?ll=31.78725650,35.21731920&amp;navigate=yes&amp;zoom=16",130,,104,"""Or Leah"" organization",31.78741269,35.21757937,8 Pri Hadash St.,,,City Center,"https://www.google.com/maps/dir//31.7872565,35.2173192+(8+Pri+Hadash+St.)"
City Center,Public Shelter No.932,"https://ul.waze.com/ul?place=EiFIYUdpbGJvYSBTdCAzOCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgkhztCxKdYCFRHA7K3epOigOxAmKhQKEglpw1uyKdYCFRFW4en6mwII9Q&amp;ll=31.78300580,35.21286900&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",100,,80,Lev Ha'Ir Community Administration,31.78310575,35.21285728,38 HaGilboa St.,,,City Center,"https://www.google.com/maps/dir//31.7830058,35.212869+(38+HaGilboa+St.)"
Romema,Public Shelter No.933,"https://www.waze.com/ul?ll=31.79611500,35.19930460&amp;navigate=yes&amp;zoom=16",100,,80,"""Lev Malka"" organization",31.79601192,35.1991455,38 HaMem Gimel St.,,,Romema,"https://www.google.com/maps/dir//31.796115,35.1993046+(38+HaMem+Gimel+St.)"
Mahane Yehuda,Public Shelter No.935,"https://www.waze.com/ul?ll=31.78237690,35.21106920&amp;navigate=yes&amp;zoom=16",170,,136,community synagogue,31.7827654,35.21055875,28 Be'er Sheva St.,,,City Center,"https://www.google.com/maps/dir//31.7823769,35.2110692+(28+Be'er+Sheva+St.)"
Old Katamon,Public Shelter No.937,"https://www.waze.com/ul?ll=31.76147420,35.20966070&amp;navigate=yes&amp;zoom=16",100,,80,"Youth Promotion Department, Education Division, Jerusalem Municipality",31.76174784,35.20969289,38 Hizkiyahu HaMelech St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7614742,35.2096607+(38+Hizkiyahu+HaMelech+St.)"
,Public Shelter No.939,"https://www.waze.com/ul?ll=31.77201690,35.20105720&amp;navigate=yes&amp;zoom=16",100,shelter,80,"Koom-Koom Theatre, Culture Division, Jerusalem Municipality ",31.77218105,35.20100356,17 Neve Sha'anan St.,,,"Neve Shaanan, Accessible Shelter","https://www.google.com/maps/dir//31.7720169,35.2010572+(17+Neve+Sha'anan+St.)"
Talpiot,Public Shelter No.940,"https://ul.waze.com/ul?ll=31.75058740,35.21983800&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75058740,35.21983800&amp;navigate=yes&amp;zoom=16?ll=31.75058740,35.21983800&amp;navigate=yes&amp;zoom=16",100,,80,"""Ezra"" youth movement",31.7511988668086,35.22008993,17 Shalom Yehuda St.,,,Talpiyot - Arnona,"https://www.google.com/maps/dir//31.7505874,35.219838+(17+Shalom+Yehuda+St.)"
Giv'at HaVradim (Rassco) ,Public Shelter No.949,"https://ul.waze.com/ul?place=ChIJ_7CQUtrXAhURolBdWhnilZE&amp;ll=31.76542790,35.20724910&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",100,,80,Ginot Ha'Ir Community Administration,31.7654734829433,35.20729202,33 HaTayasim St.,,,Rassco - Givat HaVradim,"https://www.google.com/maps/dir//31.7654279,35.2072491+(33+HaTayasim+St.)"
Shmuel HaNavi,Public Shelter No.957,"https://www.waze.com/ul?ll=31.79442760,35.21904880&amp;navigate=yes&amp;zoom=16?ll=31.79442760,35.21904880&amp;navigate=yes&amp;zoom=16",450,,360,"""Agudat Or HaTzafon"" synagogue",31.7946169685596,35.2189116,19 Avinadav St.,,,Shmuel HaNavi,"https://www.google.com/maps/dir//31.7944276,35.2190488+(19+Avinadav+St.)"
Mahane Yehuda,Public Shelter No.961,"https://www.waze.com/ul?ll=31.78054400,35.21113920&amp;navigate=yes&amp;zoom=16",100,,80,"""Ariel"" youth movement ",31.78076286,35.21112847,17 Even Sapir St.,,,City Center,"https://www.google.com/maps/dir//31.780544,35.2111392+(17+Even+Sapir+St.)"
Kiryat HaYovel,Public Shelter No.963,"https://www.waze.com/ul?ll=31.76588580,35.17830050&amp;navigate=yes&amp;zoom=16",100,,80,"""Siach Yisrael"" synagogue",31.7658358392997,35.1773224039463,11 Yisrael Zangvill St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7658858,35.1783005+(11+Yisrael+Zangvill+St.)"
Kiryat HaYovel,Public Shelter No.964,"https://ul.waze.com/ul?place=ChIJIZwyUYPXAhURT1-jX4DK4Oc&amp;ll=31.75728610,35.17602160&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75752170,35.17606360&amp;navigate=yes&amp;zoom=16",,,144,"Emergency and Security Division, Jerusalem Municipality",31.7572860741135,35.1760216039467,8 Meir Grunwald St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7572861,35.1760216+(8+Meir+Grunwald+St.)"
Katamon,Public Shelter No.965,"https://www.waze.com/ul?ll=31.75388930,35.19664720&amp;navigate=yes&amp;zoom=16",100,,80,"""Havatzelet HaSharon"" synagogue",31.75373649,35.19636583,7 Yitzhak Sadeh St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7538893,35.1966472+(7+Yitzhak+Sadeh+St.)"
Katamon,Public Shelter No.967,"https://ul.waze.com/ul?ll=31.75851250,35.20964050&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75795620,35.20953250&amp;navigate=yes&amp;zoom=16",100,,80,"""Ariel"" movement",31.75888667,35.209264,7 Antignos St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7585125,35.2096405+(7+Antignos+St.)"
Katamon,Public Shelter No.969- Eligible,"https://www.waze.com/ul?ll=31.75672320,35.20875450&amp;navigate=yes&amp;zoom=16",100,,80,"Sports Division, Jerusalem Municipality ",31.75687008,35.20875076,16 Yossi Ben Yo'ezer St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7567232,35.2087545+(16+Yossi+Ben+Yo'ezer+St.)"
Kiryat Shmuel,Public Shelter No.971,"https://www.waze.com/ul?ll=31.76789020,35.21214120&amp;navigate=yes&amp;zoom=16?ll=31.76789020,35.21214120&amp;navigate=yes&amp;zoom=16",100,,80,Ginot Ha'ir Community Administration ,31.7678482602372,35.2120205039462,16 HaPalmach St.,,,"Kiryat Shmuel, Accessible Shelter","https://www.google.com/maps/dir//31.7678902,35.2121412+(16+HaPalmach+St.)"
Rehavia ,Public Shelter No.972,"https://www.waze.com/ul?ll=31.77618920,35.21420920&amp;navigate=yes&amp;zoom=16",100,,80,"""Beit Yael"", Culture Division, Jerusalem Municipality ",31.7762808948042,35.2142244,26 AlHarizi St.,,,Rehavia,"https://www.google.com/maps/dir//31.7761892,35.2142092+(26+AlHarizi+St.)"
City Center,Public Shelter No.973,"https://www.waze.com/ul?ll=31.77962700,35.21560500&amp;navigate=yes&amp;zoom=16",100,,80,"Drama school, Youth Promotion Department, Education Division, Municipality of Jerusalem ",31.77791035,35.21665559,5 HaRav Aviyada St.,,,City Center,"https://www.google.com/maps/dir//31.779627,35.215605+(5+HaRav+Aviyada+St.)"
City Center,Public Shelter No.974,"https://www.waze.com/ul?ll=31.77795129,35.21585941&amp;navigate=yes&amp;zoom=17",100,,80,"Youth Promotion Department, Education Division, Jerusalem Municipality",31.7798829422441,35.2147312,9 Shmuel Hanagid St.,,,City Center,"https://www.google.com/maps/dir//31.77795129,35.21585941+(9+Shmuel+Hanagid+St.)"
Romema,Public Shelter No.975 A,"https://www.waze.com/ul?ll=31.79447700,35.20174810&amp;navigate=yes&amp;zoom=16",50,,40,"Emergency and Security Division, Jerusalem Municipality",31.7944769740967,35.2017481039452,15 Zichron Ya'akov St.,,,Romema,"https://www.google.com/maps/dir//31.794477,35.2017481+(15+Zichron+Ya'akov+St.)"
Romema,Public Shelter No.975 B,"https://www.waze.com/ul?ll=31.79422280,35.20198890&amp;navigate=yes&amp;zoom=16",50,,40,"""Drachei Miryam"" organization",31.79422544982,35.20202255,17 Zichron Ya'akov St.,,,Romema,"https://www.google.com/maps/dir//31.7942228,35.2019889+(17+Zichron+Ya'akov+St.)"
Romema,Public Shelter No.975 C,"https://www.waze.com/ul?ll=31.79395480,35.20222220&amp;navigate=yes&amp;zoom=16",50,,40,"Lev Malka"" organization",31.793954774097,35.202190017436,19 Zichron Ya'akov St.,,,Romema,"https://www.google.com/maps/dir//31.7939548,35.2022222+(19+Zichron+Ya'akov+St.)"
Romema,Public Shelter No.975 D,"https://www.waze.com/ul?ll=31.79351730,35.20220770&amp;navigate=yes&amp;zoom=16",50,,40,"Emergency and Security Division, Jerusalem Municipality",31.7935355120931,35.2021969751088,21 Zichron Ya'akov St.,,,Romema,"https://www.google.com/maps/dir//31.7935173,35.2022077+(21+Zichron+Ya'akov+St.)"
,Public Shelter No.976,"https://ul.waze.com/ul?place=ChIJMUAAJ5PXAhURSk1hhwH4ldk&amp;ll=31.75531500,35.19199900&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75548000,35.19248900&amp;navigate=yes&amp;zoom=16",50,shelter,40,organization of Israelis of Kurdish origin,31.75536971,35.19197755,41 Avraham Elmaliach St.,,,"Gonenim - Katamonim, Accessible Shelter","https://www.google.com/maps/dir//31.755315,35.191999+(41+Avraham+Elmaliach+St.)"
Kiryat Moshe,Public Shelter No.977,"https://ul.waze.com/ul?place=ChIJ3ZUHpDbWAhURHIIWFfInH14&amp;ll=31.78621350,35.19733430&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.78662370,35.19703000&amp;navigate=yes&amp;zoom=16",100,,80,Meitarim Community Administration,31.78641411,35.1973343,23 Gat St.,,,Kiryat Moshe,"https://www.google.com/maps/dir//31.7862135,35.1973343+(23+Gat+St.)"
Kiryat Moshe,Public Shelter No.978,https://ul.waze.com/ul?venue_id=23068990.230689899.323781&amp;overview=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location,100,,80,Meitarim Community Administration,31.7875374957523,35.1955500885998,13 HaRav Tzvi Yehuda St.,,,Kiryat Moshe,"https://www.google.com/maps/dir//31.7875374957523,35.1955500885998+(13+HaRav+Tzvi+Yehuda+St.)"
Romema,Public Shelter No.979,"https://www.waze.com/ul?ll=31.79510120,35.20107200&amp;navigate=yes&amp;zoom=16",100,,80,"""Hanichei HaYeshivot Romema"" synagogue",31.7950738175648,35.2010827327815,10 Zichron Ya'akov St.,,,"Romema, Accessible Shelter","https://www.google.com/maps/dir//31.7951012,35.201072+(10+Zichron+Ya'akov+St.)"
Baka,Public Shelter No.980,"https://www.waze.com/ul?ll=31.75523270,35.21645890&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.7551778,35.21700545,22 ​Rivka St.,,,Baka,"https://www.google.com/maps/dir//31.7552327,35.2164589+(22+​Rivka+St.)"
